2 0.000624  0.002704  0.009792 0.000224 
4 0.000506  0.008735  0.047124 0.000954 
6 0.000882  0.017286  0.141597 0.001081 
8 0.001367  0.030471  0.303358 0.002735 
10 0.002445  0.052678  0.583156 0.003759 
12 0.001699  0.073516  1.260015 0.002717 
14 0.001781  0.123598  2.051692 0.002267 
16 0.007394  0.153242  3.015584 0.003683 
18 0.006612  0.195009  4.425618 0.003350 
20 0.003008  0.251720  6.122746 0.003997 
22 0.003577  0.310055  8.229592 0.004782 
24 0.006128  0.372752  10.839368 0.005067 
26 0.007922  0.441941  13.905222 0.006417 
28 0.007864  0.508845  17.434689 0.007262 
30 0.011353  0.581347  21.719160 0.008885 
32 0.011764  0.679830  27.160444 0.015409 
34 0.015774  0.778394  32.588181 0.013658 
36 0.016698  0.892465  39.552555 0.024052 
38 0.018802  0.956584  46.841442 0.022454 
40 0.023130  1.109605  54.425697 0.033425 
42 0.027460  1.259049  63.705677 0.041121 
44 0.028114  1.405090  74.103752 0.040181 
46 0.031149  1.524329  85.971062 0.050927 
48 0.034145  1.711192  97.095467 0.053473 
50 0.038674  1.934836  109.778351 0.064178 
